Analyse the following screen recording frames for user interaction events.

**Batch 20** | Time range: 299.3s - 312.6s | Frames: 27

## Frame sampling

These frames are NOT uniformly sampled. Each frame was selected for a specific reason:
- **event start / event end**: Frames at the start and end of a locally detected cursor event (click candidate, hover, hesitation, etc.). These are often cropped to a region of interest around the cursor position.
- **event mid**: Midpoint of a detected dwell event, cropped to the cursor region.
- **visual change**: Frames before and after a detected visual transition (possible navigation or UI state change). These are full-frame captures.
- **baseline**: A frame inserted to ensure temporal coverage during gaps with no detected events. Full-frame capture.

## Frame annotations

[Frame 0 | 299322ms | event start | cursor at (699, 1006)]
- **Candidate 43**: click | 311105ms-311172ms | confidence=0.20 at cursor (1080, 853) | Possible click at (1080, 853)
- **Candidate 44**: click | 311172ms-311172ms | confidence=0.20 at cursor (1080, 853) | Possible click at (1080, 853)
- **Candidate 45**: click | 311305ms-311305ms | confidence=0.20 at cursor (429, 790) | Possible click at (429, 790)
- **Candidate 46**: click | 311438ms-311438ms | confidence=0.20 at cursor (1260, 946) | Possible click at (1260, 946)
- **Candidate 47**: hover | 311505ms-311972ms | confidence=0.60 at cursor (504, 919) | Cursor stationary for 467ms near (504, 919)
- **Candidate 48**: hesitate | 311505ms-311972ms | confidence=0.50 at cursor (504, 919) | Hesitation (467ms) near (504, 919) before action
- **Candidate 49**: click | 311705ms-311972ms | confidence=0.20 at cursor (504, 919) | Possible click at (504, 919)
- **Candidate 50**: click | 311772ms-311972ms | confidence=0.20 at cursor (504, 919) | Possible click at (504, 919)
- **Candidate 51**: click | 311905ms-311972ms | confidence=0.20 at cursor (504, 919) | Possible click at (504, 919)
- **Candidate 52**: click | 311972ms-311972ms | confidence=0.20 at cursor (504, 919) | Possible click at (504, 919)
- **Candidate 53**: click | 312105ms-312105ms | confidence=0.20 at cursor (1410, 964) | Possible click at (1410, 964)
- **Candidate 54**: hover | 312238ms-312572ms | confidence=0.60 at cursor (1716, 18) | Cursor stationary for 334ms near (1716, 18)


## Your task

Examine each frame carefully and:

1. **Confirm or reject cursor events**: For frames labelled as event candidates (start/end/mid), verify whether the event actually occurred based on what you see. Describe the interaction target and what happened.
2. **Identify navigate and change_ui_state events**: For visual change frames, determine if a page navigation occurred (URL change, new page load) or if a UI state changed (modal appearing, loading state, dropdown opening).
3. **Note any additional events**: For baseline frames, report any visible interactions or state changes.

Use frame indices relative to this batch (starting from 0). For short interactions, frame_index_start and frame_index_end may be the same.

Return the events as a JSON array.
